balancing_area,reserve_type,direction,timepoint,target,day_repeat
system_wide_balancing_area,regulation,up,2020-01-12 00:00,10.3009866,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 02:00,21.408162930000003,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 04:00,9.199677000000001,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 06:00,21.408162930000003,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 08:00,149.3274092583075,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 10:00,177.16770458975992,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 12:00,170.4466743897599,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 14:00,170.4595317897599,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 16:00,167.69672088350634,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 18:00,18.0003861,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 20:00,18.3740901,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-12 22:00,14.5971681,32.13204951856947
system_wide_balancing_area,regulation,up,2020-01-19 00:00,21.408162930000003,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 02:00,21.408162930000003,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 04:00,21.408162930000003,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 06:00,21.408162930000003,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 08:00,157.92075989250623,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 10:00,177.6835485897599,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 12:00,176.2877475897599,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 14:00,172.9371852897599,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 16:00,143.02054714950336,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 18:00,9.6544704,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 20:00,9.0873246,23.596973865199434
system_wide_balancing_area,regulation,up,2020-01-19 22:00,16.65168,23.596973865199434
system_wide_balancing_area,regulation,up,2020-02-12 00:00,19.99093083,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 02:00,19.762002,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 04:00,21.408162930000003,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 06:00,19.282130100000003,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 08:00,163.87455137326086,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 10:00,174.6671445897599,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 12:00,173.5854825897599,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 14:00,172.32282968975989,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 16:00,158.811976933809,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 18:00,21.014620830000002,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 20:00,21.408162930000003,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-12 22:00,14.391824100000001,24.601100412654734
system_wide_balancing_area,regulation,up,2020-02-20 00:00,1.7406975,35.646492434662996
system_wide_balancing_area,regulation,up,2020-02-20 02:00,2.768870886,35.646492434662996
